memo,active.all.allocated,active.all.current,active.all.freed,active.all.peak,active.large_pool.allocated,active.large_pool.current,active.large_pool.freed,active.large_pool.peak,active.small_pool.allocated,active.small_pool.current,active.small_pool.freed,active.small_pool.peak,active_bytes.all.allocated,active_bytes.all.current,active_bytes.all.freed,active_bytes.all.peak,active_bytes.large_pool.allocated,active_bytes.large_pool.current,active_bytes.large_pool.freed,active_bytes.large_pool.peak,active_bytes.small_pool.allocated,active_bytes.small_pool.current,active_bytes.small_pool.freed,active_bytes.small_pool.peak,allocated_bytes.all.allocated,allocated_bytes.all.current,allocated_bytes.all.freed,allocated_bytes.all.peak,allocated_bytes.large_pool.allocated,allocated_bytes.large_pool.current,allocated_bytes.large_pool.freed,allocated_bytes.large_pool.peak,allocated_bytes.small_pool.allocated,allocated_bytes.small_pool.current,allocated_bytes.small_pool.freed,allocated_bytes.small_pool.peak,allocation.all.allocated,allocation.all.current,allocation.all.freed,allocation.all.peak,allocation.large_pool.allocated,allocation.large_pool.current,allocation.large_pool.freed,allocation.large_pool.peak,allocation.small_pool.allocated,allocation.small_pool.current,allocation.small_pool.freed,allocation.small_pool.peak,inactive_split.all.allocated,inactive_split.all.current,inactive_split.all.freed,inactive_split.all.peak,inactive_split.large_pool.allocated,inactive_split.large_pool.current,inactive_split.large_pool.freed,inactive_split.large_pool.peak,inactive_split.small_pool.allocated,inactive_split.small_pool.current,inactive_split.small_pool.freed,inactive_split.small_pool.peak,inactive_split_bytes.all.allocated,inactive_split_bytes.all.current,inactive_split_bytes.all.freed,inactive_split_bytes.all.peak,inactive_split_bytes.large_pool.allocated,inactive_split_bytes.large_pool.current,inactive_split_bytes.large_pool.freed,inactive_split_bytes.large_pool.peak,inactive_split_bytes.small_pool.allocated,inactive_split_bytes.small_pool.current,inactive_split_bytes.small_pool.freed,inactive_split_bytes.small_pool.peak,num_alloc_retries,num_ooms,reserved_bytes.all.allocated,reserved_bytes.all.current,reserved_bytes.all.freed,reserved_bytes.all.peak,reserved_bytes.large_pool.allocated,reserved_bytes.large_pool.current,reserved_bytes.large_pool.freed,reserved_bytes.large_pool.peak,reserved_bytes.small_pool.allocated,reserved_bytes.small_pool.current,reserved_bytes.small_pool.freed,reserved_bytes.small_pool.peak,segment.all.allocated,segment.all.current,segment.all.freed,segment.all.peak,segment.large_pool.allocated,segment.large_pool.current,segment.large_pool.freed,segment.large_pool.peak,segment.small_pool.allocated,segment.small_pool.current,segment.small_pool.freed,segment.small_pool.peak
000:Before-Build-Model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001:After-Build-Model,314,314,0,314,31,31,0,31,283,283,0,283,186479104,186479104,0,186479104,165007360,165007360,0,165007360,21471744,21471744,0,21471744,186479104,186479104,0,186479104,165007360,165007360,0,165007360,21471744,21471744,0,21471744,314,314,0,314,31,31,0,31,283,283,0,283,17,5,12,7,6,2,4,4,11,3,8,5,102875136,14847488,88027648,25391104,87883776,13250560,74633216,24522752,14991360,1596928,13394432,2270208,0,0,201326592,201326592,0,201326592,178257920,178257920,0,178257920,23068672,23068672,0,23068672,18,18,0,18,7,7,0,7,11,11,0,11
002:Before-Iteration,314,314,0,314,31,31,0,31,283,283,0,283,186479104,186479104,0,186479104,165007360,165007360,0,165007360,21471744,21471744,0,21471744,186479104,186479104,0,186479104,165007360,165007360,0,165007360,21471744,21471744,0,21471744,314,314,0,314,31,31,0,31,283,283,0,283,17,5,12,7,6,2,4,4,11,3,8,5,102875136,14847488,88027648,25391104,87883776,13250560,74633216,24522752,14991360,1596928,13394432,2270208,0,0,201326592,201326592,0,201326592,178257920,178257920,0,178257920,23068672,23068672,0,23068672,18,18,0,18,7,7,0,7,11,11,0,11
003:Before-Forward,314,314,0,314,31,31,0,31,283,283,0,283,186479104,186479104,0,186479104,165007360,165007360,0,165007360,21471744,21471744,0,21471744,186479104,186479104,0,186479104,165007360,165007360,0,165007360,21471744,21471744,0,21471744,314,314,0,314,31,31,0,31,283,283,0,283,17,5,12,7,6,2,4,4,11,3,8,5,102875136,14847488,88027648,25391104,87883776,13250560,74633216,24522752,14991360,1596928,13394432,2270208,0,0,201326592,201326592,0,201326592,178257920,178257920,0,178257920,23068672,23068672,0,23068672,18,18,0,18,7,7,0,7,11,11,0,11
004:After-Forward,2262,469,1793,542,432,106,326,121,1830,363,1467,422,11208673792,2729230336,8479443456,4167306240,11034209792,2703577088,8330632704,4141552128,174464000,25653248,148810752,37978624,11208673792,2729230336,8479443456,4167306240,11034209792,2703577088,8330632704,4141552128,174464000,25653248,148810752,37978624,2262,469,1793,542,432,106,326,121,1830,363,1467,422,869,31,838,36,220,12,208,14,649,19,630,22,5907480576,124993536,5782487040,337197568,5698115072,119189504,5578925568,335609856,209365504,5804032,203561472,6804480,0,0,4234149888,4234149888,0,4234149888,4190109696,4190109696,0,4190109696,44040192,44040192,0,44040192,62,62,0,62,41,41,0,41,21,21,0,21
005:Before-Forward,2976,488,2488,542,815,93,722,121,2161,395,1766,422,24030969856,555830784,23475139072,4167306240,23784428032,494063616,23290364416,4141552128,246541824,61767168,184774656,62505984,24030969856,555830784,23475139072,4167306240,23784428032,494063616,23290364416,4141552128,246541824,61767168,184774656,62505984,2976,488,2488,542,815,93,722,121,2161,395,1766,422,1224,42,1182,45,447,16,431,23,777,26,751,26,13257725952,448705024,12809020928,624890880,12992604672,443363328,12549241344,620179456,265121280,5341696,259779584,8486912,0,0,5123342336,5123342336,0,5123342336,5056233472,5056233472,0,5056233472,67108864,67108864,0,67108864,74,74,0,74,42,42,0,42,32,32,0,32
006:After-Forward,4922,637,4285,715,1194,171,1023,180,3728,466,3262,536,38086775808,3857756672,34229019136,5558048768,37626837504,3793649152,33833188352,5488910848,459938304,64107520,395830784,83260416,38086775808,3857756672,34229019136,5558048768,37626837504,3793649152,33833188352,5488910848,459938304,64107520,395830784,83260416,4922,637,4285,715,1194,171,1023,180,3728,466,3262,536,2099,60,2039,67,667,23,644,30,1432,37,1395,42,20869229056,1175408128,19693820928,1430651392,20375021568,1166115328,19208906240,1427855872,494207488,9292800,484914688,9292800,0,0,6427770880,6427770880,0,6427770880,6339690496,6339690496,0,6339690496,88080384,88080384,0,88080384,87,87,0,87,45,45,0,45,42,42,0,42
007:Before-Forward,5552,488,5064,715,1549,93,1456,180,4003,395,3608,536,54222050816,555830784,53666220032,5558048768,53715402240,494063616,53221338624,5488910848,506648576,61767168,444881408,83260416,54222050816,555830784,53666220032,5558048768,53715402240,494063616,53221338624,5488910848,506648576,61767168,444881408,83260416,5552,488,5064,715,1549,93,1456,180,4003,395,3608,536,2518,43,2475,67,918,16,902,33,1600,27,1573,42,31999183872,448705024,31550478848,2053939200,31457937920,443363328,31014574592,2046509056,541245952,5341696,535904256,9402368,0,0,7587495936,7587495936,0,7587495936,7499415552,7499415552,0,7499415552,88080384,88080384,0,88080384,88,88,0,88,46,46,0,46,42,42,0,42
008:After-Forward,7491,638,6853,716,1939,168,1771,181,5552,470,5082,536,67321550848,3543888896,63777661952,5558048768,66627259904,3477097472,63150162432,5488910848,694290944,66791424,627499520,83260416,67321550848,3543888896,63777661952,5558048768,66627259904,3477097472,63150162432,5488910848,694290944,66791424,627499520,83260416,7491,638,6853,716,1939,168,1771,181,5552,470,5082,536,3305,74,3231,77,1087,36,1051,38,2218,38,2180,42,41648270848,1118080000,40530190848,2053939200,40900250112,1109373952,39790876160,2046509056,748020736,8706048,739314688,9402368,0,0,7587495936,7587495936,0,7587495936,7499415552,7499415552,0,7499415552,88080384,88080384,0,88080384,88,88,0,88,46,46,0,46,42,42,0,42
009:Before-Forward,8124,488,7636,716,2290,93,2197,181,5834,395,5439,536,82003725824,555830784,81447895040,5558048768,81255813632,494063616,80761750016,5488910848,747912192,61767168,686145024,83260416,82003725824,555830784,81447895040,5558048768,81255813632,494063616,80761750016,5488910848,747912192,61767168,686145024,83260416,8124,488,7636,716,2290,93,2197,181,5834,395,5439,536,3597,43,3554,77,1224,16,1208,39,2373,27,2346,42,53916690432,448705024,53467985408,2053939200,53112774144,443363328,52669410816,2046509056,803916288,5341696,798574592,9402368,0,0,7587495936,7587495936,0,7587495936,7499415552,7499415552,0,7499415552,88080384,88080384,0,88080384,88,88,0,88,46,46,0,46,42,42,0,42
